file,paragraph_id,section,governing_question,one_sentence_answer,evidence_or_mechanism,scope_condition,transition_to_next_paragraph,recommended_action
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0043,Fractional empirical balance,What role does this paragraph play in Fractional empirical balance?,Finite-sample score balance is fractional because observations may lie exactly on fitted roots.,definition or mathematical construction,"Scope is conditional; paragraph includes cues: fixed, if, only.","Next paragraph begins: [Exact fractional empirical balance] At any interior subgradient-stationary intercept-only MTI solution, there are allocations ( q_i ) with the membership conve",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0044,Fractional empirical balance,What formal result or assumption is being established?,If (B_n= # i:,formal statement or proof,"Scope is conditional; paragraph includes cues: if, iid, not, only.","Next paragraph begins: For linear roots in a globally ordered chart, the same subgradient selection gives _i X_i &=0, _i X_i &=0. Subtracting yields the width-weighted calibration equ",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0045,Fractional empirical balance,What role does this paragraph play in Fractional empirical balance?,"For linear roots in a globally ordered chart, the same subgradient selection gives _i X_i &=0, _i X_i &=0.",interpretive transition or scope statement,Scope is conditional; paragraph includes cues: not.,"Next paragraph begins: The static asymptotic statements used for uncertainty calibration are fixed-dimensional iid random-design statements. Let (Z=(X,Y) ) be iid with bounded (X ), f",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0046,Fixed-dimensional iid uncertainty geometry,How does the dynamic root-state construction preserve the target?,The static asymptotic statements used for uncertainty calibration are fixed-dimensional iid random-design statements.,definition or mathematical construction,"Scope is conditional; paragraph includes cues: fixed, iid.","Next paragraph begins: Let (w_0(X)=b_ _0 (X)-a_ _0 (X) ) and [ p_0(X)= a_ _0 (X)<Y<b_ _0 (X) X . ] Writing the endpoint score vector as ( _0(Z) ), define [ J= _0(Z) . ] The expected-r",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0047,Fixed-dimensional iid uncertainty geometry,What posterior object or computation is being defined?,Let (w_0(X)=b_ _0 (X)-a_ _0 (X) ) and [ p_0(X)= a_ _0 (X)<Y<b_ _0 (X) X .,definition or mathematical construction,"Scope is conditional; paragraph includes cues: fixed, not, under.","Next paragraph begins: The full joint covariance is matched by a scalar learning rate if and only if [ J= _ R ^ -1 H. ] Otherwise different endpoint, midpoint, width, or coefficient c",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0048,Fixed-dimensional iid uncertainty geometry,How does the dynamic root-state construction preserve the target?,The full joint covariance is matched by a scalar learning rate if and only if [ J= _ R ^ -1 H.,formal statement or proof,"Scope is conditional; paragraph includes cues: if, not, only, open.","Next paragraph begins: [t] For (c=0.80 ), (m=0 ), and (h=1 ), the residual product is negative exactly inside the interval. The half-width score contracts (h ) for covered observation",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0049,RQR-W and Width Regularization,What role does this paragraph play in RQR-W and Width Regularization?,,interpretive transition or scope statement,No special scope condition beyond surrounding section.,"Next paragraph begins: The width-regularized variant in has a different population score system from the MPI loss. For comparison, they use the RQR-W population objective [ + 2 (b-a)^",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0050,RQR-W and Width Regularization,How is the MPI target identified or scoped?,The width-regularized variant in has a different population score system from the MPI loss.,interpretive transition or scope statement,"Scope is conditional; paragraph includes cues: not, regular.","Next paragraph begins: More generally, if a differentiable width penalty (P(w) ), (w=b-a ), is added to a check loss at level (q ), the coverage equation is [ (a<Y<b)=q- w . ] A corre",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0051,RQR-W and Width Regularization,What role does this paragraph play in RQR-W and Width Regularization?,"More generally, if a differentiable width penalty (P(w) ), (w=b-a ), is added to a check loss at level (q ), the coverage equation is [ (a<Y<b)=q- w .",interpretive transition or scope statement,"Scope is conditional; paragraph includes cues: if, not, only, when.","Next paragraph begins: The computation part supports the main article's fixed-target generalized posterior, Gibbs, ECM, static, DESN, and dynamic claims. The inherited objects are fix",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0052,Part III. Generalized-Posterior Computation,What posterior object or computation is being defined?,"The computation part supports the main article's fixed-target generalized posterior, Gibbs, ECM, static, DESN, and dynamic claims.",algorithmic derivation or computational identity,Scope is conditional; paragraph includes cues: fixed.,Next paragraph begins: [display or structural block],retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0053,Pseudo-AL Augmentation of the Generalized Posterior,What role does this paragraph play in Pseudo-AL Augmentation of the Generalized Posterior?,,interpretive transition or scope statement,No special scope condition beyond surrounding section.,"Next paragraph begins: The Gibbs sampler is obtained by augmenting the product-residual loss factor, not by introducing a response likelihood. The resulting factor is not a sampling d",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0054,Pseudo-AL Augmentation of the Generalized Posterior,What posterior object or computation is being defined?,"The Gibbs sampler is obtained by augmenting the product-residual loss factor, not by introducing a response likelihood.",algorithmic derivation or computational identity,"Scope is conditional; paragraph includes cues: fixed, not.","Next paragraph begins: The latent-scale full conditional uses the ( ( ,a,b) ) convention proportional to (v^ -1 -(av+b/v)/2 ): [ v_i 12, 2 _ R c(1-c) , 2 _ R . ] At (e_i=0 ), this red",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0055,Pseudo-AL Augmentation of the Generalized Posterior,What role does this paragraph play in Pseudo-AL Augmentation of the Generalized Posterior?,"The latent-scale full conditional uses the ( ( ,a,b) ) convention proportional to (v^ -1 -(av+b/v)/2 ):",algorithmic derivation or computational identity,No special scope condition beyond surrounding section.,Next paragraph begins: [display or structural block],retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0056,Static Root Regression and Fixed-Target ECM,What role does this paragraph play in Static Root Regression and Fixed-Target ECM?,,interpretive transition or scope statement,No special scope condition beyond surrounding section.,"Next paragraph begins: Static regression is the base computation for ridge readouts and frozen DESN features. Let ( W_v= ( _c _ R v_i)^ -1 :i O ). Conditional on the second root, defi",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0057,Gaussian coefficient full conditionals,How does the dynamic root-state construction preserve the target?,Static regression is the base computation for ridge readouts and frozen DESN features.,algorithmic derivation or computational identity,"Scope is conditional; paragraph includes cues: not, regular.","Next paragraph begins: Let ( _ O ) be fixed and define [ L_ n,c, = _ i O . ] For a fixed learning rate ( _ R ), the full-conditional precision ( Q_1 ) above is unchanged, while its ca",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0058,Fixed-rate mean-tilt consequence,How is the MPI target identified or scoped?,"Let ( _ O ) be fixed and define [ L_ n,c, = _ i O .",definition or mathematical construction,Scope is conditional; paragraph includes cues: fixed.,"Next paragraph begins: Equation~ is the algebraic identity used by the fixed-rate ridge sampler. Validation must verify exact zero-tilt equivalence, unchanged precisions and latent-sc",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0059,Fixed-rate mean-tilt consequence,What evidence or reproducibility role does this paragraph serve?,Equation~ is the algebraic identity used by the fixed-rate ridge sampler.,"generated artifact, validation fixture, or diagnostic summary","Scope is conditional; paragraph includes cues: fixed, only.","Next paragraph begins: For finite ( O ), fixed ( _ R ), and proper Gaussian root priors, the nonzero-tilt generalized posterior is proper. Indeed, the MPI generalized-posterior factor",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0060,Fixed-rate mean-tilt consequence,What posterior object or computation is being defined?,"For finite ( O ), fixed ( _ R ), and proper Gaussian root priors, the nonzero-tilt generalized posterior is proper.",interpretive transition or scope statement,"Scope is conditional; paragraph includes cues: fixed, not.",Next paragraph begins: The same pseudo-AL augmentation gives a deterministic expectation/conditional-maximization algorithm for a fixed generalized-posterior mode . It is a computatio,retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0061,Fixed-target ECM mode computation,What posterior object or computation is being defined?,The same pseudo-AL augmentation gives a deterministic expectation/conditional-maximization algorithm for a fixed generalized-posterior mode .,algorithmic derivation or computational identity,"Scope is conditional; paragraph includes cues: fixed, not.","Next paragraph begins: For a GIG variable under the convention above, [ E(V^r)= ( ba )^ r/2 K_ +r ( ) K_ ( ) . ] With ( =1/2 ) and (r=-1 ), (K_ -1/2 =K_ 1/2 ). Therefore, for (e_i 0 )",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0062,Fixed-target ECM mode computation,What fixed-target mode computation is being described?,"For a GIG variable under the convention above, [ E(V^r)= ( ba )^ r/2 K_ +r ( ) K_ ( ) .",algorithmic derivation or computational identity,"Scope is conditional; paragraph includes cues: not, under.","Next paragraph begins: Holding ( _2 ) fixed, write [ A_2= ( y_ O - _ 2, O ) X_ O , c_2= y_ O ^ ,2 - y_ O _ 2, O . ] With ridge prior precision ( P_1 ), the first conditional maximizat",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0063,Fixed-target ECM mode computation,What fixed-target mode computation is being described?,"Holding ( _2 ) fixed, write [ A_2= ( y_ O - _ 2, O ) X_ O , c_2= y_ O ^ ,2 - y_ O _ 2, O .",algorithmic derivation or computational identity,"Scope is conditional; paragraph includes cues: fixed, when.","Next paragraph begins: At (e_i=0 ), ( _i ) is infinite. The implementation therefore uses a declared safeguarded generalized ECM/MM variant with a response-product-scale floor, exact ",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0064,Fixed-target ECM mode computation,How is the tolerance or scan action distinguished from target uncertainty?,"At (e_i=0 ), ( _i ) is infinite.",algorithmic derivation or computational identity,"Scope is conditional; paragraph includes cues: fixed, not.",Next paragraph begins: [display or structural block],retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0065,MPI-only RHS-NS prior adapter,What role does this paragraph play in MPI-only RHS-NS prior adapter?,,interpretive transition or scope statement,No special scope condition beyond surrounding section.,"Next paragraph begins: The MPI fixed-design sampler also supports a conditionally Gaussian RHS-NS prior adapter . For root (k ), let [ _k = _k^2, _k, _k^2, _k, _k^2 ] denote its local",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0066,MPI-only RHS-NS prior adapter,How does the dynamic root-state construction preserve the target?,The MPI fixed-design sampler also supports a conditionally Gaussian RHS-NS prior adapter .,algorithmic derivation or computational identity,"Scope is conditional; paragraph includes cues: fixed, requires.",Next paragraph begins: Equation~ specifies the verified conditional prior adapter; it is not a new standalone derivation of the marginal RHS-NS prior. The Prior-state construction and,retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0067,MPI-only RHS-NS prior adapter,What posterior object or computation is being defined?,Equation~ specifies the verified conditional prior adapter;,interpretive transition or scope statement,"Scope is conditional; paragraph includes cues: not, only.",Next paragraph begins: [display or structural block],retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0068,Frozen-feature DESN specialization,What role does this paragraph play in Frozen-feature DESN specialization?,,interpretive transition or scope statement,No special scope condition beyond surrounding section.,"Next paragraph begins: Let ( X_ ) denote the complete deterministic DESN feature design, including any declared intercept column . The reservoir seed, depth, units, lag window, spectr",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0069,Frozen-feature DESN specialization,What posterior object or computation is being defined?,"Let ( X_ ) denote the complete deterministic DESN feature design, including any declared intercept column .",algorithmic derivation or computational identity,"Scope is conditional; paragraph includes cues: fixed, not, only.","Next paragraph begins: A future design ( X_ ) must be generated by the same frozen reservoir contract, without using held-out responses to refit the features. Generalized-posterior su",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0070,Frozen-feature DESN specialization,What evidence or reproducibility role does this paragraph serve?,"A future design ( X_ ) must be generated by the same frozen reservoir contract, without using held-out responses to refit the features.","generated artifact, validation fixture, or diagnostic summary",Scope is conditional; paragraph includes cues: fixed.,Next paragraph begins: [display or structural block],retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0071,MPI-Only Learned Inverse-Loss Scale,What role does this paragraph play in MPI-Only Learned Inverse-Loss Scale?,,interpretive transition or scope statement,No special scope condition beyond surrounding section.,Next paragraph begins: Learning the inverse-loss scale is a separate MPI generalized-posterior convention. Let (s_L>0 ) be a declared reference loss scale and set ( _ R =s_L/ ). With ,retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0072,MPI-Only Learned Inverse-Loss Scale,What posterior object or computation is being defined?,Learning the inverse-loss scale is a separate MPI generalized-posterior convention.,definition or mathematical construction,Scope is conditional; paragraph includes cues: when.,"Next paragraph begins: For any proper MPI root and prior-state law ( ( ) ), the joint generalized posterior in is proper. Indeed, ( L_ n,c ( ) 0 ), so its exponential factor is at mos",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0073,MPI-Only Learned Inverse-Loss Scale,What posterior object or computation is being defined?,"For any proper MPI root and prior-state law ( ( ) ), the joint generalized posterior in is proper.",interpretive transition or scope statement,"Scope is conditional; paragraph includes cues: not, when.","Next paragraph begins: We call the . The factor ( ^ n_ ) normalizes an asymmetric-Laplace kernel in the abstract pseudo-residual (e_i ), not a density in (y_i ). It is an analyst-decl",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0074,MPI-Only Learned Inverse-Loss Scale,What posterior object or computation is being defined?,We call the .,interpretive transition or scope statement,"Scope is conditional; paragraph includes cues: fixed, if, not.","Next paragraph begins: For backward compatibility, the software stores this quantity in fields named . Those fields represent the manuscript's ( ); they are unrelated to the RQR-W pen",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0075,MPI-Only Learned Inverse-Loss Scale,What role does this paragraph play in MPI-Only Learned Inverse-Loss Scale?,"For backward compatibility, the software stores this quantity in fields named .",interpretive transition or scope statement,No special scope condition beyond surrounding section.,"Next paragraph begins: This learned-scale generalized posterior applies to MPI only. The mean-tilted loss can be negative, and parameter-independent additive constants at fixed ( _ R ",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0076,MPI-Only Learned Inverse-Loss Scale,What posterior object or computation is being defined?,This learned-scale generalized posterior applies to MPI only.,algorithmic derivation or computational identity,"Scope is conditional; paragraph includes cues: fixed, not, only, when.","Next paragraph begins: If one conditions additionally on ( v ), the full conditional under the augmented generalized posterior is , v, y (&a_ + 3n_ 2 , &b_ + s_L _ i O ).",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0077,MPI-Only Learned Inverse-Loss Scale,What posterior object or computation is being defined?,"If one conditions additionally on ( v ), the full conditional under the augmented generalized posterior is , v, y (&a_ + 3n_ 2 , &b_ + s_L _ i O ).",algorithmic derivation or computational identity,"Scope is conditional; paragraph includes cues: if, under.","Next paragraph begins: The diagnostic pure-loss generalized posterior omits ( ^ n_ ). Its collapsed shape is (a_ ), and a compatible augmented representation has shape (a_ +n_ /2 ). T",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0078,MPI-Only Learned Inverse-Loss Scale,What posterior object or computation is being defined?,The diagnostic pure-loss generalized posterior omits ( ^ n_ ).,"generated artifact, validation fixture, or diagnostic summary",Scope is conditional; paragraph includes cues: not.,"Next paragraph begins: MPI learned- ( ) partially collapsed scan Use , restricted to MPI (( =0) ). It applies to a proper Gaussian/ridge fixed design, the MPI RHS-NS adapter defined a",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0079,Dynamic Linear Root-State Computation,What role does this paragraph play in Dynamic Linear Root-State Computation?,,interpretive transition or scope statement,No special scope condition beyond surrounding section.,"Next paragraph begins: The dynamic sampler keeps the interval target fixed while replacing static coefficients by root-specific state trajectories. For root (k=1,2 ), consider the DLM",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0080,Dynamic Linear Root-State Computation,What posterior object or computation is being defined?,The dynamic sampler keeps the interval target fixed while replacing static coefficients by root-specific state trajectories.,algorithmic derivation or computational identity,"Scope is conditional; paragraph includes cues: fixed, not.","Next paragraph begins: [t] The two root paths have a stacked Gaussian prior, but their joint contribution to the augmented generalized posterior is quartic. Conditional on either comp",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0081,Dynamic Linear Root-State Computation,What posterior object or computation is being defined?,"Conditional on ( _ 2,1:T ), the observed latent scales, and the specified inverse loss scale, root 1 has the following linear Gaussian full-conditional representation:",interpretive transition or scope statement,"Scope is conditional; paragraph includes cues: fixed, only.","Next paragraph begins: For either conditional Gaussian system, write (m_ t-1 ,C_ t-1 ) for filtered moments. The forward recursion is a_t&=G_tm_ t-1 , & P_t&=G_tC_ t-1 G_t^ , R_t&=P_t",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0082,Dynamic Linear Root-State Computation,How does the dynamic root-state construction preserve the target?,"For either conditional Gaussian system, write (m_ t-1 ,C_ t-1 ) for filtered moments.",definition or mathematical construction,"Scope is conditional; paragraph includes cues: fixed, if, when.","Next paragraph begins: Starting from ( _T (m_T,C_T) ), the backward draw for (t=T-1, ,1 ) uses B_t&=C_tG_ t+1 ^ R_ t+1 ^ -1 , m_t^ &=m_t+B_t( _ t+1 -a_ t+1 ), C_t^ &=C_t-B_tR_ t+1 B_t",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0083,Dynamic Linear Root-State Computation,What role does this paragraph play in Dynamic Linear Root-State Computation?,"Starting from ( _T (m_T,C_T) ), the backward draw for (t=T-1, ,1 ) uses B_t&=C_tG_ t+1 ^ R_ t+1 ^ -1 , m_t^ &=m_t+B_t( _ t+1 -a_ t+1 ), C_t^ &=C_t-B_tR_ t+1 B_t^ , _t _ t+1 , & (m_t^ ,C_t^ ).",interpretive transition or scope statement,No special scope condition beyond surrounding section.,"Next paragraph begins: For fixed evolution covariances, the implementation integrates ( _ k0 ) out of the root-path update. Thus [ a_ k1 =G_1m_0, R_ k1 =G_1C_0G_1^ +W_1, ] and backwar",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0084,Dynamic Linear Root-State Computation,What role does this paragraph play in Dynamic Linear Root-State Computation?,"For fixed evolution covariances, the implementation integrates ( _ k0 ) out of the root-path update.",interpretive transition or scope statement,Scope is conditional; paragraph includes cues: fixed.,Next paragraph begins: Missing responses skip the measurement update. The implementation uses Cholesky factorization and does not silently turn an indefinite covariance into a positiv,retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0085,Dynamic Linear Root-State Computation,What role does this paragraph play in Dynamic Linear Root-State Computation?,Missing responses skip the measurement update.,interpretive transition or scope statement,"Scope is conditional; paragraph includes cues: fixed, not, under, when.",Next paragraph begins: [display or structural block],retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0086,Component-Specific Discount Factors,What role does this paragraph play in Component-Specific Discount Factors?,,interpretive transition or scope statement,No special scope condition beyond surrounding section.,"Next paragraph begins: Discount factors affect the state prior and therefore the generalized posterior being sampled. Let component discounts be ( _1, , _J ), with (0< _j 1 ), and let",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0087,Component-Specific Discount Factors,What posterior object or computation is being defined?,Discount factors affect the state prior and therefore the generalized posterior being sampled.,definition or mathematical construction,Scope is conditional; paragraph includes cues: not.,Next paragraph begins: The standalone API distinguishes three uses: [leftmargin=2.2em] : (W_ 1:T ) is supplied and fixed. This yields exact Gaussian root-path full conditionals under ,retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0088,Component-Specific Discount Factors,What posterior object or computation is being defined?,The standalone API distinguishes three uses:,algorithmic derivation or computational identity,"Scope is conditional; paragraph includes cues: experimental, fixed, if, not, under.","Next paragraph begins: The experimental designation can be made precise. Consider (T=2 ), (p=1 ), (f_t=G_t=1 ), and a nonzero discount inflation (d_ =(1- )/ ). For the root-1 conditio",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0089,Incompatibility of adaptive conditional discounts,What posterior object or computation is being defined?,The experimental designation can be made precise.,algorithmic derivation or computational identity,"Scope is conditional; paragraph includes cues: experimental, not.","Next paragraph begins: Partition the state into (J ) blocks of dimensions (d_j ), let (S_j ) select block (j ), and fix positive-definite templates (Q_ jt ). Define [ W_t( q)= q_1Q_ 1",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0090,Exact MPI shared component scales,How does the dynamic root-state construction preserve the target?,"Partition the state into (J ) blocks of dimensions (d_j ), let (S_j ) select block (j ), and fix positive-definite templates (Q_ jt ).",algorithmic derivation or computational identity,No special scope condition beyond surrounding section.,"Next paragraph begins: Because the fixed- (W ) FFBS implementation integrates out the time-zero state, the component-scale sampler restores it after each root-path draw. Its condition",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0091,Exact MPI shared component scales,How does the dynamic root-state construction preserve the target?,"Because the fixed- (W ) FFBS implementation integrates out the time-zero state, the component-scale sampler restores it after each root-path draw.",algorithmic derivation or computational identity,Scope is conditional; paragraph includes cues: fixed.,"Next paragraph begins: The implemented transition first reduces scale--trajectory dependence by integrating one root path. Conditional on root 2 and the current latent scales, the roo",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0092,Exact MPI shared component scales,What posterior object or computation is being defined?,The implemented transition first reduces scale--trajectory dependence by integrating one root path.,algorithmic derivation or computational identity,"Scope is conditional; paragraph includes cues: only, under.",Next paragraph begins: The centered inverse-Gamma update can mix slowly when a component is nearly static because its scale is strongly coupled to the realized state innovations. The ,retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0093,Exact MPI shared component scales,What posterior object or computation is being defined?,The centered inverse-Gamma update can mix slowly when a component is nearly static because its scale is strongly coupled to the realized state innovations.,definition or mathematical construction,"Scope is conditional; paragraph includes cues: fixed, not, when.","Next paragraph begins: For the implemented MPI learned-rate mode, ( _ R =s_L/ ). For fixed-rate MPI or MTI, ( _ R = _ R ^ -1 ). In the latter nonzero-tilt case, the noncentered full c",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0094,Exact MPI shared component scales,What posterior object or computation is being defined?,"For the implemented MPI learned-rate mode, ( _ R =s_L/ ).",algorithmic derivation or computational identity,"Scope is conditional; paragraph includes cues: fixed, not, only.",Next paragraph begins: Each (x_j ) is updated by a univariate stepping-out slice step with the other log scales fixed. The finite stepping-out budget uses the standard randomized left,retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0095,Exact MPI shared component scales,What posterior object or computation is being defined?,Each (x_j ) is updated by a univariate stepping-out slice step with the other log scales fixed.,algorithmic derivation or computational identity,"Scope is conditional; paragraph includes cues: fixed, only.","Next paragraph begins: One MPI sweep that leaves the specified augmented generalized posterior invariant updates collapsed ( ) when it is learned, refreshes ( v ), applies the root-1 ",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0096,Exact MPI shared component scales,What posterior object or computation is being defined?,"tion in , applies its root-2 counterpart conditional on the refreshed root 1, applies the centered component-scale and noncentered updates in the interweaving transition, and optionally swaps the two complete root labels.",interpretive transition or scope statement,"Scope is conditional; paragraph includes cues: not, when.",Next paragraph begins: This part separates external tolerance actions from ordinary Bayesian response-distribution models. The main article defines the scan-calibrated empirical actio,retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0097,Part IV. Tolerance and Full-Distribution Inference,How is the tolerance or scan action distinguished from target uncertainty?,This part separates external tolerance actions from ordinary Bayesian response-distribution models.,definition or mathematical construction,Scope is conditional; paragraph includes cues: when.,Next paragraph begins: [display or structural block],retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0098,Full-Distribution Bayesian Shortest-Interval Uncertainty,What role does this paragraph play in Full-Distribution Bayesian Shortest-Interval Uncertainty?,,interpretive transition or scope statement,No special scope condition beyond surrounding section.,"Next paragraph begins: The hybrid Bayesian--scan action needs posterior statements about the population distribution (F ), not about loss-defined root parameters. The response-distrib",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0099,Full-Distribution Bayesian Shortest-Interval Uncertainty,How is the tolerance or scan action distinguished from target uncertainty?,"The hybrid Bayesian--scan action needs posterior statements about the population distribution (F ), not about loss-defined root parameters.",definition or mathematical construction,"Scope is conditional; paragraph includes cues: fixed, not.","Next paragraph begins: [Direct-DP fixed-interval content law] For a fixed closed interval (I=[l,u] ), let (N_n(I)= _ i=1 ^n (Y_i I) ). Under the direct-DP model, [ F(I) D_n aH(I)+N_n(",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0100,Full-Distribution Bayesian Shortest-Interval Uncertainty,How is the tolerance or scan action distinguished from target uncertainty?,"The Bayesian-only order-statistic action searches [ I_n= [Y_ (j) ,Y_ ( ) ]:1 j n ] and returns the first minimum-width member of [ I I_n:p_n(I;c) 1- .",interpretive transition or scope statement,"Scope is conditional; paragraph includes cues: not, only, under.","Next paragraph begins: The hybrid Bayesian--scan action adds the scan count: [ T_n^ = _ , , I I_n:N_n(I) k_ n,c, , p_n(I;c) 1- . ] The count (k_ n,c, ) is calibrated outside the Bayes",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0101,Full-Distribution Bayesian Shortest-Interval Uncertainty,How is the tolerance or scan action distinguished from target uncertainty?,The hybrid Bayesian--scan action adds the scan count:,interpretive transition or scope statement,Scope is conditional; paragraph includes cues: fixed.,Next paragraph begins: Posterior shortest-target functionals are obtained by drawing a distribution from the posterior DP using a truncated stick-breaking representation . For each we,retain after 2026-08-13 architecture/prose pass
